Airline,Dep_Airport,Arr_Airport,Scheduled_Departure,Dep_Temp,Dep_Humidity,Dep_Weather,Dep_WindSpeed,Dep_Visibility,Dep_RainfallRate,Dep_SnowAccumulation,Arr_Temp,Arr_Humidity,Arr_Weather,Arr_WindSpeed,Arr_Visibility,Arr_RainfallRate,Arr_SnowAccumulation,Delay_Minutes,Delay_Status
British Airways,DEL,LHR,06:09,-28.2,44,Snow,45,651,21.8,3.1,43.5,58,Cloudy,52,435,22.0,4.7,88,1
IndiGo,DXB,DEL,19:41,6.9,63,Fog,5,7669,1.3,0.8,-5.0,32,Storm,13,2436,6.5,0.7,0,0
Emirates,DEL,JFK,21:38,44.0,46,Cloudy,45,369,23.3,4.3,43.4,87,Cloudy,43,660,24.0,4.5,24,1
British Airways,BOM,DXB,00:58,-1.5,53,Fog,27,6100,1.7,0.5,2.2,62,Storm,2,4433,6.0,0.1,0,0
IndiGo,JFK,LHR,05:48,-29.9,59,Snow,56,493,25.0,3.6,43.6,37,Snow,57,437,21.2,4.3,39,1
SpiceJet,JFK,DEL,23:17,-9.4,54,Cloudy,20,3598,4.8,0.8,27.9,63,Storm,22,3484,0.7,0.0,0,0
Emirates,BOM,DEL,07:07,45.2,39,Cloudy,41,495,24.6,3.9,42.1,90,Fog,53,109,28.3,2.7,25,1
British Airways,DXB,DEL,22:13,-0.2,59,Sunny,9,6467,0.7,0.7,21.6,50,Storm,15,2689,8.6,0.7,0,0
British Airways,LHR,BLR,09:20,45.5,68,Fog,51,163,24.6,4.8,-29.1,45,Sunny,53,278,22.0,4.9,37,1
Air India,DXB,LHR,16:34,-3.7,55,Sunny,30,2040,6.4,0.9,-7.6,66,Rain,26,4702,4.6,0.7,0,0
Air India,BOM,LHR,08:34,-24.0,36,Snow,50,609,21.5,4.3,45.2,77,Rain,56,459,23.4,2.8,119,1
Emirates,LHR,DEL,02:15,-3.7,38,Storm,27,9523,0.6,0.6,-1.3,96,Sunny,17,2072,5.8,0.5,0,0
